feature,imp
D_130_pct_values_above_mean,0.0
D_60_pct_values_above_mean,0.0
D_130_std,0.0
D_52_range,0.0
D_131_pct_values_above_mean,0.0
D_133_median,0.0
D_133_min,0.0
D_131_std,0.0
D_130_mean,0.0
D_68_last_1.0,0.0
D_143_mean,0.0
D_140_IQR,0.0
D_141_pct_values_above_mean,0.0
D_141_std,0.0
D_141_IQR,0.0
D_141_range,0.0
D_141_max,0.0
D_141_min,0.0
D_141_median,0.0
D_141_mean,0.0
D_145_range,0.0
D_139_range,0.0
D_130_range,0.0
D_130_IQR,0.0
D_140_min,0.0
D_140_median,0.0
D_140_mean,0.0
D_139_pct_values_above_mean,0.0
D_139_std,0.0
D_139_IQR,0.0
D_68_last_5.0,0.0
D_96_min,0.0
D_93_pct_values_above_mean,0.0
D_68_last_4.0,0.0
D_59_pct_values_above_mean,0.0
D_74_pct_values_above_mean,0.0
D_54_median,0.0
D_69_IQR,0.0
D_69_max,0.0
D_83_mean,0.0
D_83_median,0.0
D_83_max,0.0
D_84_min,0.0
D_52_IQR,0.0
D_69_median,0.0
D_68_pct_values_above_mean,0.0
D_54_IQR,0.0
D_59_std,0.0
D_59_IQR,0.0
D_86_mean,0.0
D_86_median,0.0
D_86_min,0.0
D_54_max,0.0
D_80_min,0.0
D_86_std,0.0
D_70_pct_values_above_mean,0.0
D_80_std,0.0
D_47_IQR,0.0
D_47_pct_values_above_mean,0.0
D_81_min,0.0
D_80_IQR,0.0
D_80_pct_values_above_mean,0.0
D_70_IQR,0.0
D_80_range,0.0
D_51_pct_values_above_mean,0.0
D_80_median,0.0
D_75_pct_values_above_mean,0.0
D_78_min,0.0
D_79_range,0.0
D_79_IQR,0.0
D_72_min,0.0
D_79_std,0.0
D_79_pct_values_above_mean,0.0
D_72_pct_values_above_mean,0.0
D_86_max,0.0
D_86_pct_values_above_mean,0.0
D_39_pct_values_above_mean,0.0
D_117_last_6.0,0.0
D_94_range,0.0
D_94_IQR,0.0
D_94_std,0.0
D_96_mean,0.0
D_92_range,0.0
D_126_last_0.0,0.0
D_96_range,0.0
D_65_min,0.0
D_117_last_5.0,0.0
D_144_mean,0.0
D_117_last_4.0,0.0
D_117_last_3.0,0.0
D_117_last_2.0,0.0
D_117_last_1.0,0.0
D_117_last_-1.0,0.0
D_41_min,0.0
D_116_last_1.0,0.0
D_116_last_0.0,0.0
D_94_max,0.0
D_94_mean,0.0
D_58_pct_values_above_mean,0.0
D_81_IQR,0.0
D_89_median,0.0
D_89_min,0.0
D_55_pct_values_above_mean,0.0
D_89_IQR,0.0
D_133_std,0.0
D_91_median,0.0
D_91_min,0.0
D_86_range,0.0
D_92_max,0.0
D_93_std,0.0
D_96_median,0.0
D_92_IQR,0.0
D_92_std,0.0
D_92_pct_values_above_mean,0.0
D_93_median,0.0
D_93_min,0.0
D_93_max,0.0
D_93_range,0.0
D_45_pct_values_above_mean,0.0
